股票代码,形态,买入日期,买入价,股数,买入金额,卖出日期,卖出价,卖出原因,盈亏,收益率
000983.SZ,黑三鸦,2025-02-24,6.95,1400,9730.00,2025-03-10,6.85,持仓10天到期,-140.00,-1.44%
601857.SH,黑三鸦,2025-02-27,7.78,1200,9336.00,2025-03-13,7.82,持仓10天到期,48.00,0.51%
600028.SH,黑三鸦,2025-03-06,5.66,1700,9622.00,2025-03-20,5.86,持仓10天到期,340.00,3.53%
600221.SH,黑三鸦,2025-04-02,1.42,7000,9940.00,2025-04-07,1.32,止损(7.0%),-695.80,-7.00%
601390.SH,黑三鸦,2025-04-02,5.55,1800,9990.00,2025-04-07,5.16,止损(7.0%),-699.30,-7.00%
601688.SH,黑三鸦,2025-04-03,16.25,600,9750.00,2025-04-07,15.11,止损(7.0%),-682.50,-7.00%
601872.SH,黑三鸦,2025-04-09,6.00,1600,9600.00,2025-04-23,5.89,持仓10天到期,-176.00,-1.83%
300408.SZ,黑三鸦,2025-04-10,34.71,200,6942.00,2025-04-24,35.62,持仓10天到期,182.00,2.62%
600745.SH,黑三鸦,2025-04-10,30.20,300,9060.00,2025-04-24,31.83,持仓10天到期,489.00,5.40%
600309.SH,黑三鸦,2025-04-18,54.91,100,5491.00,2025-05-07,55.43,持仓10天到期,52.00,0.95%
300628.SZ,黑三鸦,2025-04-28,33.09,300,9927.00,2025-05-15,34.62,持仓10天到期,459.00,4.62%
000895.SZ,黑三鸦,2025-05-20,24.67,400,9868.00,2025-06-04,24.72,持仓10天到期,20.00,0.20%
